stop_id stop_code stop_name stop_lat stop_lon
112 PointOfInterest_49 Chemin_Vert 48.673976 2.333981
113 73 Centre_commercial_Rossays 48.668697 2.336349
114 PointOfInterest_61 Hôpital_Jacques_Cartier 48.732471 2.291105
115 40 Bièvre_Poterne 48.73788 2.272099
116 36 Les_Graviers 48.728118 2.251578
117 PointOfInterest_57 Chemin_des_Boeufs 48.7257 2.251921
118 38 Lycée_Fustel_de_Coulanges 48.732379 2.265429
119 1617717814 Émile_Zola 48.736904 2.263366
120 41 Gare_de_Massy-Verrières_RER 48.734977 2.272866
121 43 Mairie 48.731014 2.272709
122 45 Gabriel_Péri_-_Centre-Ville_ 48.729293 2.275913
123 47 Jean_Mermoz 48.72953 2.280807
124 49 Paul_Bailliart 48.731563 2.281718
125 PointOfInterest_59 Avenue_Saint-Marc 48.732231 2.286696
126 55 Marché_de_Narbonne 48.736324 2.292288
127 56 Périgord 48.736175 2.298053
128 57 Biarritz 48.734901 2.294085
129 poi2929359 Hôpital_Jacques_Cartier 48.732124 2.291201
130 PointOfInterest_60 Avenue_Saint-Marc 48.731319 2.287395
131 50 Paul_Bailliart 48.731655 2.281763
132 48 Jean_Mermoz 48.729492 2.280663
133 46 Centre-Ville_Henri_Gilbert 48.729984 2.277007
134 44 Gambetta-Mairie 48.731479 2.274609
135 42 Gare_de_Massy-Verrières_RER 48.733951 2.273164
136 poi1816592 Emile_Zola 48.736461 2.2627
137 PointOfInterest_58 Chemin_des_Boeufs 48.725753 2.251942
138 35 Les_Graviers 48.728069 2.251645
139 PointOfInterest_1 Baron_de_Nivière 48.700534 2.252048
140 poi1302194 Grand_Dôme 48.688533 2.231013
141 poi1302198 Mairie 48.682064 2.23706
142 poi1302200 Chemin_vert 48.678474 2.239768
143 poi1302204 Poitevine 48.674926 2.220657
144 stop_code Fretay 48.671871 2.213216
145 stop_code La_Folie_Bessin 48.667758 2.198035
146 PointOfInterest_2 Baron_de_Nivière 48.700687 2.252349
147 stop_code La_Folie_Bessin 48.667644 2.198137
148 poi1302207 Fretay 48.671852 2.213654
149 poi1302203 Poitevine 48.675014 2.221725
150 poi1302201 Chemin_vert 48.678588 2.240008
151 poi1302197 Mairie 48.684101 2.236304
152 poi1302195 Grand_Dôme 48.688682 2.230962
153 131 Gare_de_Palaiseau_Villebon_RER 48.707374 2.237159
154 PointOfInterest_68 Palaiseau_-_Villebon_RER_-_Général_Leclerc 48.706504 2.238481
155 PointOfInterest_155 Henri_Dunant 48.703708 2.242816
156 129 Les_Roches 48.705223 2.246881
157 PointOfInterest_7 Rue_du_Viaduc 48.701042 2.245604
158 125 Pierre_Longue 48.698146 2.246065
159 126 Pierre_Longue 48.698352 2.246121
160 127 Rue_du_Viaduc 48.700958 2.245268
161 128 Henri_Dunant 48.702507 2.243237
162 PointOfInterest_6 Moulin_de_la_Planche 48.700901 2.233819
163 PointOfInterest_3 Collège_Jules_Verne 48.69944 2.229772
164 138 Résidence_du_Parc_-_Mairie 48.698871 2.225804
165 140 Les_Casseaux 48.700401 2.220318
166 142 Place_des_Suisses 48.700031 2.214785
167 144 Av._du_Général_de_Gaulle 48.699512 2.210394
168 146 Cimetière_d'Orsay 48.699001 2.206322
169 148 Stade_de_Rugby_-_Poincaré 48.702144 2.210005
170 149 Gare_de_Lozère_-_RER 48.705902 2.212167
171 147 Stade_de_Rugby_-_Poincaré 48.70195 2.209782
172 145 Av._du_Général_de_Gaulle 48.699413 2.210442
173 143 Place_des_Suisses 48.699909 2.214751
174 141 Les_Casseaux 48.700279 2.22055
175 139 Résidence_du_Parc_-_Mairie 48.698715 2.225973
176 PointOfInterest_4 Collège_Jules_Verne 48.698886 2.230354
177 PointOfInterest_5 Moulin_de_la_Planche 48.700927 2.233901
178 130 Stade_-_Piscine 48.707519 2.244203
179 poi406745 Marché_du_Parc 48.701145 2.135152
180 poi1271277 Croix_de_Fer 48.704566 2.126719
181 poi2460410 Fond_Fanets 48.709308 2.127246
182 poi2460407 Francis_Perrin_ 48.711868 2.160053
183 poi2460408 Joliot-Curie 48.710319 2.161737
184 poi2460409 Mail_Potier 48.710964 2.164829
185 poi406746 Mairie 48.702095 2.133699
186 poi1271278 Croix_de_Fer 48.705165 2.126351
187 poi2460411 Fond_Fanets 48.709609 2.127391
